CATID;BREEDGROUP;SEX;AGE_BEHAVIOUR;OTHER_CATS;problematic_behavior;seeks_physical_contact_people;Opens_doors;Rests _in_secure_places;Reacts_to_video_TV;Refuses_litter_box_dirty;Freezes_examined_veterinarian;Seems_confident;comfortable_social_gatherings;easily_scared_things_sounds ;Defecates_inappropriate_places;Unexpectedly_scratches _bites;greets_unfamiliar_children;Enjoys_tearing_cardboard;Runs_ hides_noise_inside;Runs_hide_noise_outside;Asks_in_out_ rooms;Freezes_nothing visible;Tries_wake_up;exhibits_bursts_running;Talks_to_people;increased_activity_morning;destroys_left_alone;Reacts_catnip;Chases_animals;purrs_petted;scratch_bite_human_possession_prey;comfortable_familiar_children;Growls_hisses_familiar_cat_staring;scratch_bite_familiar_dogs;Growls_hisses_examined_veterinarian;Growls_hisses_unfamiliar_dogs;lie_things_used_people;excited_new_toys;Runs_while_playing;Greets_unfamiliar_cats;Growls_hisses_familiar_dogs;restlessness_home_modified;eats_house_plants;eye_contact_familiar_people;Scratches_inappropriate_objects;scratch_bite_petted_base_tail;hallway_household_leave;not_want_use_same_litter_box;wrong_targeted_aggression;Enjoys_jumping_high;restlessness_member_household_affection_person;Gets_excite_small_animals_window;scratch_bite_petted_belly;Carries_toy;listens_everything_you_say;playing_chases_household_members;Growls_hisses_nails_clipped;Growls_hisses_medicine_familiar;Chases_imaginary_objects;scratch_bite_bathed;Growls_ hisses_bathed;increased_activity_evening;Runs_unfamiliar_cats;scratch_bite_brushed;Reacts_similarly_situations;Stares_unfamiliar_people;self_mutilation;investigates_new_objects;Growls_hisses_approached_familiar_cat_while_eating;scratch_bite_unfamiliar_dogs;restlessness_other_cats_fight;excessive_ grooming;restlessness_unfamiliar_objects;Plays_fetch;Gets_along _with_cats;Seeks_company_other_cats;baby_cry_check;Growls_hisses_brushed;Chase_tail;scratch_bite_examined_veterinarian;Rests_warm_appliances;scratch_bite_nails_clipped;greets_kittens;Moves_elegantly;scratch_bite _medicine_familiar_person;Hides_household_member_leave;Urinates_inappropriate;Escapes_unfamiliar_people;Is_persevering;Stalks_moving_objects;meowing _left_alone;Sprays_indoors;adapts_changes;Squirms_picked_ held_arms;Brings_prey_animals;Enjoys_playing_cats;Runs_unfamiliar_dogs;waiting_household_member_arrives;sudden_licking_chewing_body;Comes_called;Escapes_threatened_familiar_cat;Chews_cables;Reacts_different_events_vocalizing;scratch_bite_familiar_cat_hissing;Growls_hisses_petted_tail;Chews_plastics;Growls_hisses_unfamiliar_person_pet;Growls_hisses_unfamiliar_children;Chase_shadows;escape_home;comfortable_petted_unfamiliar_people;greets_unfamiliar_adults;Active;Prefers_types_cat_litter;restlessness_member_household_affection_another_pet;Seeks_physical_contact_other_cats;Growls_hisses_approached_familiar_cat_resting;Friendly_unfamiliar_dogs;Growls_hisses_approached_human_possession_of_prey;finds_new_ways_get_attention;learns_associate_things;Concentration_not_disturbed;Sucks_chews_fabrics;Growls_hisses_unfamiliar_adults;Purrs_sitting_lap;Chases_bite_moving_legs;not_recognize_familiar_cat_if_smells_odd;Kneads_objects;Squirms_picked_to_lap;substrate_preference_inappro;interactive_play_people;Repeats_meaningless_movements;comfortable_playing _unfamiliar_people;Walks_tail_upright;not_approach_people_right_away;Rests_elevated_places;comfortable_unfamiliar_places;responds_commands;Picky;Asks_food;restlessness_household_member_leave;exited_other_pets;Human_oriented;fearfulness;human_aggression;activity_playfulness;cat_sociability;human_sociability;litterbox_issues;excessive_grooming
268;British;Female;0,707650273;YES;A_little;5;1;3;4;2;1;5;4;2;1;1;4;1;1;1;4;1;5;4;5;2;1;1;;5;1;2;;1;1;;4;5;2;;1;1;2;5;1;1;4;1;1;4;1;4;1;2;3;1;2;;1;;;2;;2;5;2;1;5;1;;1;1;1;1;5;5;;1;1;1;2;1;;5;;1;1;1;2;5;1;1;5;1;;5;;1;3;4;;1;2;;1;1;1;1;5;1;5;5;2;1;1;5;1;;1;2;4;;1;1;5;1;1;1;1;;1;1;5;4;1;2;4;;2;5;1;4;4;-1,014889221;-0,222572353;-1,196177486;0,621307712;0,006675244;-0,834644451;-0,067832595
269;House_cat;Female;6,348455221;YES;Some;2;1;5;1;5;4;2;1;5;2;1;1;1;5;;5;1;1;4;2;1;1;2;5;2;1;1;5;1;1;5;4;2;4;1;1;5;4;;2;1;1;4;;4;1;5;2;2;1;2;1;1;1;;;1;5;1;4;;1;1;4;2;5;1;5;1;2;2;;1;1;1;5;1;1;5;4;;4;5;2;4;1;1;1;3;5;2;5;2;1;4;2;1;1;4;1;1;1;1;1;1;1;1;2;5;1;1;3;2;1;1;2;;1;1;4;1;5;5;5;5;1;1;1;4;5;2;;;5;2;1;;1;2,260246244;-0,094870342;-1,746393073;-1,615181121;-2,150909876;3,463466975;0,247957721
270;British;Female;1,126027397;unknown;unknown;5;3;1;4;3;2;5;4;2;1;1;4;1;2;1;5;2;2;2;5;4;2;;5;4;1;5;2;;1;;4;5;5;4;;1;4;5;2;1;4;1;1;5;1;5;1;5;5;4;1;1;;2;2;2;2;1;5;5;1;5;1;;;1;1;5;;;;1;1;1;3;2;5;5;1;1;1;2;4;5;4;1;5;4;;;;5;1;4;4;1;4;;1;1;1;1;4;2;4;4;4;3;1;;1;;1;2;5;;1;1;5;1;;5;4;;3;1;4;5;4;5;;;4;4;2;;5;-0,40921951;-0,594879326;1,082049079;-0,115390145;0,330480478;-0,484282782;-0,549279086
271;British;Female;7,310061602;NO;A_little;5;1;4;4;4;2;5;3;2;4;2;3;2;1;2;4;3;3;5;3;3;1;5;5;5;2;5;3;;1;;4;4;5;2;;2;2;5;4;1;4;;1;4;1;5;1;3;4;5;1;1;3;;;3;4;1;5;3;1;5;;;;1;1;2;;;;1;1;1;4;1;;5;1;2;2;3;4;4;1;1;5;4;;;;5;1;4;;1;2;;1;2;1;1;5;3;3;4;2;4;;;;;2;4;5;2;1;1;;1;;2;4;4;1;1;4;5;3;5;3;;4;3;2;;5;-0,085850007;-0,432756664;-0,038804879;-0,266159148;-0,151116528;1,681933916;-0,409642542
272;Sacred_Birman;Female;8,304744526;YES;No;5;5;5;4;5;4;5;2;4;1;1;1;4;5;5;5;4;4;5;5;4;2;2;;5;1;5;4;;1;4;5;4;5;5;;4;4;5;2;1;5;2;1;5;4;5;1;4;4;4;1;1;4;1;1;5;4;1;4;4;4;5;1;1;1;1;4;5;5;5;;1;2;1;5;1;5;5;1;1;1;4;4;4;4;1;2;4;;5;;5;1;4;4;4;4;1;1;1;1;1;4;2;2;4;4;5;4;5;1;4;1;4;5;4;2;1;5;1;2;4;4;;5;2;4;5;5;5;4;4;5;5;4;5;4;1,051928331;-0,49640264;1,332530624;0,965083764;2,031300516;1,051839881;2,112455527
273;Maine_Coon;Female;5,109995436;unknown;unknown;4;4;4;2;;2;5;1;2;1;1;2;1;5;5;5;5;5;4;1;5;1;2;5;2;2;;4;1;2;;2;4;5;2;2;2;1;1;5;5;4;1;1;2;1;2;3;2;4;5;;1;5;;;1;3;4;4;4;1;4;1;1;1;1;1;1;5;2;;1;1;;4;;;4;;1;1;5;5;5;1;1;4;5;4;5;5;5;1;1;2;3;4;4;1;1;1;1;5;1;1;2;2;;2;1;2;1;2;4;5;;1;1;;2;2;5;5;;1;1;4;5;5;2;;;5;5;4;;4;0,86034037;0,778273372;0,074644689;-0,299545684;-0,910763244;-0,709168918;-0,663998584
274;Other;Female;0,794520548;YES;Some;5;4;1;5;4;2;5;2;4;1;4;2;5;5;2;5;5;4;5;5;4;4;5;5;5;4;5;2;;4;;5;5;5;4;;4;5;5;5;5;4;1;1;5;;5;4;4;5;5;5;1;5;4;4;5;5;4;4;4;1;5;1;;;2;4;4;5;5;;4;5;4;4;5;;5;4;1;1;4;5;5;2;1;4;5;;5;5;5;1;4;5;5;5;;4;5;1;1;5;5;2;1;4;2;2;4;1;;;5;5;;1;1;5;2;5;4;5;;2;5;2;4;5;5;2;;5;5;2;;4;1,090024108;3,74554271;1,284264002;0,882602492;0,513923499;0,103873263;0,888330021
275;Norwegian_Forest_Cat;Female;6,309859155;YES;No;5;2;4;5;2;1;5;2;2;1;1;2;1;3;2;4;1;1;4;5;2;1;5;5;5;1;3;3;;1;;4;5;5;4;;1;2;5;1;1;4;1;1;5;1;5;1;4;5;3;1;1;1;1;1;1;1;1;4;2;1;5;1;;4;1;1;1;4;3;;1;1;1;1;1;;5;1;1;1;4;4;5;;1;5;2;;4;;5;1;4;2;1;2;2;1;1;1;1;2;1;3;3;4;4;1;4;1;;1;5;5;;1;1;5;1;1;2;4;;5;1;4;5;5;4;4;;4;4;2;;4;0,34109896;-0,928555626;0,763521483;-0,449410021;0,114728918;-0,676770921;-0,750513588
276;British;Female;1,375342466;NO;No;5;5;5;3;3;1;5;2;1;1;1;2;1;2;1;4;2;5;5;5;5;1;2;4;4;1;5;;;1;;5;5;5;;;2;4;5;4;1;5;;1;5;1;5;1;5;5;5;1;1;3;5;5;4;;1;4;3;1;5;;;;1;2;4;;;;1;2;3;3;3;;5;4;1;1;1;5;5;;1;4;4;;;;4;1;4;;;4;;1;1;1;1;5;;2;2;4;2;;;;;1;5;5;;1;1;5;1;;5;4;;5;1;2;5;4;5;3;;4;5;3;;;0,276194391;0,248381305;1,536987294;0,168655938;-0,053525598;-0,578169143;-0,401609548
277;Siamese_and_Balinese;Female;3,394934976;YES;A_little;5;5;2;3;3;1;4;5;2;1;1;;4;1;1;5;2;2;5;5;3;1;4;4;5;1;;2;1;1;;2;5;5;;1;1;5;5;5;1;5;1;;5;1;4;1;5;5;5;1;1;3;;;4;;1;4;4;1;5;1;;1;1;1;5;4;5;;1;1;1;4;2;;4;1;1;1;1;5;5;2;1;5;1;;4;;5;1;4;;1;5;1;1;2;1;;5;2;5;5;5;4;2;4;1;;1;5;5;4;1;1;5;1;2;4;2;;5;2;5;5;1;4;2;4;2;5;1;;5;-0,829868754;-0,617832208;1,056276573;0,220176997;0,527059423;-0,378523188;-0,246761028
278;House_cat;Female;5,211319032;YES;A_little;5;1;5;3;5;1;3;3;5;4;4;1;1;5;3;5;5;4;4;4;4;3;4;5;4;3;1;5;1;5;5;3;3;4;1;1;3;5;5;5;4;3;5;;2;1;5;5;1;4;4;5;5;3;5;5;2;1;4;5;4;1;4;5;5;4;1;3;1;3;1;1;4;1;5;5;5;2;5;5;2;1;4;3;5;2;1;4;5;4;1;2;4;1;3;4;1;3;5;4;1;4;4;5;5;3;1;4;4;1;1;3;1;3;4;4;;;2;5;1;5;5;5;1;1;4;1;4;4;3;1;;4;4;3;5;4;1,93851743;5,377222293;-0,549589026;-3,157448991;-0,165685886;3,291365677;0,366701568
279;Sphynx_and_Devon_Rex;Female;7,586584531;YES;No;5;2;4;5;1;1;5;5;1;1;1;5;1;1;1;1;1;1;2;4;1;1;4;5;5;1;5;1;1;1;1;5;5;2;5;1;1;;5;4;1;1;1;1;5;1;5;1;4;5;4;1;1;1;1;1;1;1;1;4;3;1;5;1;1;1;1;1;2;5;5;;1;1;1;5;1;5;4;1;1;1;1;2;4;1;1;5;1;;5;1;2;1;4;1;1;4;1;1;1;1;1;4;;5;5;2;2;1;5;1;5;1;4;5;;1;1;5;1;2;5;2;;4;1;5;5;2;4;5;;2;5;1;5;5;-1,061372055;-0,81361786;-0,791251231;0,431060903;-0,085875879;-0,68464001;-0,53301179
280;House_cat;Female;8,874897345;unknown;unknown;5;3;2;5;5;3;5;4;2;1;1;3;4;4;2;5;4;4;5;5;1;2;5;4;4;1;3;3;;1;;5;2;5;1;;3;2;4;4;1;5;1;1;4;3;5;2;3;5;3;4;4;4;4;3;5;2;1;5;4;2;4;1;;;2;2;4;5;5;;1;4;1;4;4;;2;4;1;1;1;4;4;;1;3;4;3;4;4;5;4;5;2;1;5;3;1;5;1;2;5;2;4;4;2;4;3;3;1;2;1;5;5;;3;1;5;1;2;5;4;;3;1;4;4;3;2;4;;4;4;4;;5;-0,312187673;1,23326566;0,312518272;0,491035232;1,830250616;0,053826929;2,380179072
281;Sphynx_and_Devon_Rex;Female;10,9486653;YES;No;5;5;5;2;1;1;4;3;1;1;1;2;1;1;1;5;1;1;2;5;3;1;2;1;3;1;5;1;;1;;5;5;5;5;;1;1;5;1;1;1;1;1;1;1;5;1;1;4;1;1;1;1;1;1;2;3;1;5;1;1;5;1;;1;1;1;1;5;4;;1;1;1;5;1;4;5;1;1;1;3;2;1;1;1;5;4;;5;;5;1;5;3;1;5;1;1;1;1;1;1;1;1;3;4;;1;4;1;;1;1;3;;1;1;5;1;1;5;4;;1;1;3;5;5;1;2;;4;1;1;;3;0,566770723;-0,736385938;-2,315808592;0,292480059;-0,441012243;-1,05067684;-0,500822397
282;House_cat;Female;unknown;unknown;unknown;5;1;5;4;4;4;4;1;3;1;1;1;1;4;2;1;4;4;5;4;3;1;4;;5;1;;1;;1;;2;2;4;;;1;;4;2;1;4;2;;2;1;4;1;2;4;2;;1;3;;;4;;1;4;;1;4;1;;4;1;3;1;3;;;1;1;1;4;1;;4;1;1;2;5;1;4;1;1;3;2;;2;;2;1;4;2;1;4;;1;5;2;1;4;1;2;2;2;;;4;1;;1;5;2;;1;1;5;1;;5;1;5;2;2;1;5;3;3;1;;2;4;3;;3;1,416441119;-0,810862717;-1,414686483;-0,264728128;0,220151603;0,458169452;-0,020399777
283;House_cat;Female;unknown;unknown;unknown;5;5;3;1;2;1;5;5;4;1;1;5;1;2;1;1;1;1;2;1;2;1;1;5;5;1;5;1;1;1;1;4;4;4;1;1;1;1;1;1;1;2;1;1;5;1;5;1;1;5;1;1;1;1;1;1;1;1;1;5;1;5;5;1;1;1;2;1;1;5;4;;1;1;1;1;1;5;5;3;1;1;1;5;5;1;1;5;4;;2;2;4;4;5;;1;1;1;1;4;1;1;5;1;5;5;2;5;1;5;1;5;1;1;1;;1;1;5;1;4;5;1;1;1;1;5;3;;4;;;4;4;1;;3;-1,048429828;-0,374322259;-1,547206552;0,252707143;-0,62394779;-0,690138295;3,412305461
284;Maine_Coon;Female;2,688569473;YES;No;4;1;1;5;1;1;5;;2;1;1;;1;4;1;1;1;2;4;1;3;1;4;5;2;1;;1;;1;1;3;5;4;5;;1;;5;1;1;1;1;1;5;1;5;1;1;5;3;1;1;1;1;1;4;1;1;4;2;1;5;1;1;1;1;1;1;5;5;;1;1;1;1;1;;5;1;1;1;1;1;5;1;1;5;1;;5;1;4;1;1;1;1;1;1;1;1;1;1;5;1;2;4;4;;1;3;1;5;1;1;5;;1;1;4;1;1;1;2;;1;1;4;5;4;1;4;;1;1;1;;3;-0,124223384;-0,770447529;-0,253555388;0,570780515;-2,197113061;-1,063397501;-0,756958985
285;Bengal;Female;3,649555099;YES;No;2;4;2;4;3;2;4;4;2;1;1;2;3;2;2;5;1;1;3;4;1;1;5;5;3;3;;4;1;1;3;1;4;4;1;1;1;3;4;1;1;4;3;1;5;1;5;1;3;3;2;1;1;1;1;1;2;1;1;4;1;1;5;2;1;4;1;1;1;3;3;;1;1;1;4;1;;5;1;1;3;1;4;5;1;2;5;4;;3;3;3;1;4;3;1;4;4;1;1;1;1;5;3;4;3;3;1;1;3;1;3;3;1;5;;1;1;;1;4;3;4;5;1;1;4;5;1;3;3;;1;5;1;;3;-0,448174489;-0,270938296;0,22022635;-1,080906875;-2,111735992;1,402268013;-0,640892691
286;Maine_Coon;Female;5,644896363;NO;Some;5;4;1;4;1;4;4;2;2;1;1;;2;3;1;1;1;4;4;5;2;2;4;;4;1;;;2;1;4;4;4;4;2;;2;1;4;4;1;2;;1;4;1;4;2;1;5;1;;2;1;;;3;1;5;4;2;1;5;1;1;;1;2;1;;;;1;1;1;1;;;4;1;1;1;2;2;4;;1;4;5;;;;5;4;5;;2;4;;1;2;1;;4;;2;4;4;;;;;1;1;2;4;;4;1;5;1;;5;;;2;1;1;5;5;4;1;;5;4;2;;5;0,842024819;0,09085712;-0,895010183;-0,21848433;0,611888226;-0,718980742;0,354807107
287;House_cat;Female;6,345717638;NO;A_little;1;1;4;1;2;4;4;1;5;1;4;1;4;5;1;1;2;1;4;1;3;1;4;4;3;3;;5;;;;1;4;5;1;;2;1;4;1;;2;1;;5;;1;;1;4;1;;;3;;;5;;;4;1;1;4;1;;;1;4;1;5;4;;;1;;4;;;5;;1;1;5;4;4;1;1;2;;;3;;1;1;1;1;1;1;1;;1;5;;5;3;1;1;2;5;1;1;1;;1;;;;2;5;;1;3;1;;;1;1;1;4;5;5;;;4;4;1;;1;3,037957279;1,149911023;-0,842573361;-0,929913453;-3,234089927;-0,078553039;-0,07696271
288;Landrace_Cat_Longhair;Female;1,293150685;YES;No;5;5;5;4;2;1;5;5;1;1;1;5;4;1;1;5;5;5;5;5;2;1;1;;5;1;5;1;;1;5;5;5;5;4;;1;5;5;5;1;5;1;1;5;1;5;1;5;4;2;;1;5;5;5;4;1;1;5;2;1;5;1;;1;1;1;5;5;5;;1;4;1;1;1;5;5;1;1;1;1;5;5;5;1;5;1;;5;5;5;1;4;1;1;2;1;1;5;1;1;;5;5;5;4;4;1;5;1;1;1;4;5;4;1;1;5;1;1;5;1;;5;1;5;5;1;5;4;5;4;5;4;;3;-1,300267138;-0,670138077;1,369424106;0,899470388;0,665099703;-0,485391205;-0,178620443
289;Bengal;Female;5,280109489;YES;A_little;5;5;4;4;4;1;5;5;1;5;1;5;2;2;2;5;4;3;5;5;3;2;3;5;5;1;5;4;2;1;3;5;4;5;4;1;3;1;5;2;1;4;4;1;5;3;5;1;4;5;5;1;1;5;2;2;3;2;1;4;4;1;5;2;2;5;3;2;5;2;5;;1;3;1;5;1;4;5;1;1;4;1;5;5;2;4;2;3;;5;2;5;2;5;1;1;5;4;1;4;1;1;5;4;5;5;4;4;4;5;2;4;1;5;5;;3;1;5;1;3;5;2;5;5;1;5;5;1;4;4;;5;4;2;5;4;-1,076748723;-0,377316659;1,51714504;-0,355988375;0,950035176;5,606635306;2,25281858
290;Landrace_Cat_Longhair;Female;8,148463645;NO;No;5;5;5;5;1;5;5;5;5;1;1;1;5;5;5;5;5;5;5;5;1;1;1;5;5;1;1;5;3;5;5;5;5;5;1;;4;1;5;3;5;5;;1;5;1;5;5;5;5;;5;;1;1;1;5;;5;5;;1;5;;1;;1;4;5;;;;1;1;2;1;2;;5;;1;1;5;5;5;1;1;2;5;;;1;5;1;5;5;1;1;;5;1;5;5;5;5;1;1;5;2;;;5;1;;5;5;;1;5;;5;;5;5;;5;1;;5;5;1;;5;5;5;5;;;2,875014725;4,852414974;1,66895459;-2,008655183;-0,153908707;0,324773988;0,359563942
291;Maine_Coon;Female;1,701369863;unknown;unknown;4;3;2;2;2;2;5;3;2;1;1;4;4;3;2;4;2;1;2;4;4;2;4;4;4;2;4;4;;1;;3;4;4;4;;1;;3;1;1;3;3;;5;3;5;2;2;4;3;2;1;1;1;1;2;;1;4;1;1;4;1;;1;1;1;1;4;4;;1;1;1;1;1;4;4;1;1;1;1;2;1;1;1;5;2;;5;;3;1;4;4;2;3;2;1;2;1;1;5;;4;4;3;1;1;4;1;;1;2;5;;1;1;5;1;2;5;4;;1;1;5;4;4;4;;;1;4;1;;4;-0,435232134;-0,319661268;-1,349553433;-0,277607989;-0,385691193;0,213322763;-0,199687976
292;Burmese;Female;0,959016393;YES;No;5;1;1;5;1;1;5;5;1;1;1;5;4;3;1;5;4;2;4;5;1;1;1;;4;1;5;2;1;1;;4;5;4;;1;1;4;5;5;1;4;1;1;5;5;4;2;5;5;4;4;4;1;;;4;;;5;5;1;5;4;;1;1;1;4;5;5;;;1;1;5;5;5;5;4;1;1;1;3;5;;1;5;4;;5;;1;1;4;5;1;2;1;1;1;1;1;4;1;5;5;3;1;5;5;1;;1;4;5;;2;1;5;1;1;1;5;;5;1;5;5;5;1;3;;3;4;1;;3;-0,695606913;1,482656557;0,565106382;1,188965558;0,723269921;-0,553102342;0,105809781
293;Sphynx_and_Devon_Rex;Female;0,360655738;YES;No;5;2;2;5;1;2;5;5;2;1;1;5;4;1;1;5;2;4;4;5;2;2;4;;5;1;5;1;;1;;4;5;5;5;;1;3;5;3;1;4;1;1;5;1;4;1;4;4;4;1;;3;1;1;;1;1;4;2;1;5;2;;4;1;1;3;5;5;;1;4;1;4;1;5;4;;1;1;1;4;5;2;1;5;1;;5;;4;1;4;1;3;4;2;1;1;1;1;5;2;5;5;4;4;1;5;1;;2;5;5;;1;1;5;2;3;2;2;;4;1;5;5;1;5;4;;1;2;2;;4;-1,199496334;-0,293998436;0,929944975;0,830651137;0,379578531;-0,500077058;-0,322738263
294;Landrace_Cat_Shorthair;Female;7,178644764;unknown;unknown;4;2;5;4;5;;4;1;3;5;1;2;1;5;4;5;5;4;4;2;1;1;2;3;4;3;5;1;1;;1;5;3;4;2;1;1;3;4;5;1;1;5;1;4;3;2;1;4;3;1;;;4;;;5;3;1;3;2;1;5;1;1;3;3;1;3;2;1;;1;1;;5;1;2;4;;1;1;5;4;3;2;;5;4;;1;5;1;1;4;4;1;4;1;1;1;1;1;5;1;1;1;1;2;1;1;1;1;1;1;3;;1;1;5;1;3;4;3;5;1;3;2;4;5;4;;;3;5;1;;4;1,100710924;-0,615476194;-1,544516812;-2,11185782;-0,778218968;3,101512562;1,924058464
295;Bengal;Female;1,384404925;YES;No;5;2;2;4;4;1;5;5;1;1;1;4;2;1;1;4;1;4;4;5;3;1;2;;4;1;5;1;1;2;2;2;4;4;3;1;1;1;4;1;1;3;1;1;4;1;4;1;2;4;4;;2;1;;;4;2;1;4;2;1;5;2;1;;1;1;2;4;4;;1;1;2;4;;;5;1;1;1;1;2;5;1;2;4;3;;4;;3;1;4;2;1;4;2;1;1;1;1;5;2;5;5;5;4;2;4;1;;2;4;4;;1;1;4;1;2;1;4;3;4;1;5;5;2;4;;;4;5;2;;3;-1,093180472;-0,16337089;0,172865406;0,225818306;-0,769668621;0,160184789;-0,557296745
296;British;Female;2,425182482;unknown;unknown;4;1;4;5;1;4;5;2;4;1;1;2;4;3;2;1;4;5;2;4;3;1;5;5;4;2;4;2;1;1;2;2;5;4;;1;1;5;5;5;1;1;1;1;1;1;1;1;3;4;2;4;4;5;4;4;;;4;4;4;1;4;2;1;2;1;1;1;5;2;;4;1;1;5;4;5;5;4;1;1;5;5;5;1;1;5;5;4;5;1;2;1;5;1;1;2;1;1;1;1;1;5;;2;2;4;;1;4;1;4;1;2;5;;1;1;4;1;1;2;4;;2;1;2;5;5;5;2;;5;5;2;;2;0,722555651;0,981837838;-0,715218038;0,89163475;-1,145646266;-1,129438892;-0,893670592
297;Persian_and_Exotic;Female;4,279846659;NO;A_little;2;1;1;3;1;;4;2;1;1;1;2;2;2;1;4;4;4;2;4;2;2;5;;4;1;;;;;;4;5;4;;;2;5;4;5;1;4;;1;5;1;3;2;2;4;2;1;1;4;;;4;3;1;4;3;1;4;;;;1;2;1;;;;1;2;;2;1;3;4;2;4;1;3;4;5;1;1;4;4;;;;3;1;1;;2;4;;1;5;1;1;4;1;1;2;2;4;;;;;1;2;4;;1;1;3;1;;4;4;;3;1;4;4;4;4;;;4;4;2;;4;1,187016678;-0,128215712;-0,506846907;-0,086558438;-2,082963244;-0,359779323;-0,006677298
298;Landrace_Cat_Shorthair;Female;1,365253078;unknown;unknown;4;1;4;4;2;;4;1;4;1;1;;4;2;1;1;;1;5;4;;1;4;;4;1;;;;2;;2;4;5;1;;1;4;5;4;1;2;1;1;4;4;4;1;4;4;4;;1;;;;5;1;;2;;1;5;1;;;1;1;2;3;2;;;1;;4;;1;5;1;1;1;2;2;4;;1;5;1;;2;1;5;1;4;;1;2;4;1;1;1;1;4;1;4;2;4;2;4;1;1;;1;4;4;;1;1;1;1;1;5;5;;2;1;;5;2;2;;;4;4;1;;4;-0,072900575;-0,463589853;0,118948815;-1,536690238;-1,207946025;-0,53224122;0,17418549
299;Sacred_Birman;Female;2,076712329;YES;A_little;5;4;2;1;1;1;5;4;1;1;2;4;2;2;1;2;4;1;4;5;2;1;1;4;5;1;4;1;;1;;5;4;4;;;1;;5;4;2;4;1;1;4;1;2;2;2;4;4;1;1;1;1;1;2;;2;4;4;1;5;1;;;1;1;1;5;4;;1;1;1;2;1;;4;2;1;1;1;2;5;1;1;5;1;;5;;4;1;5;;1;2;;1;1;1;1;;2;4;4;2;;2;4;1;;1;5;5;;1;1;5;1;1;1;2;;2;1;4;4;1;5;4;;5;4;2;;4;-0,839772694;-0,35144432;-0,611292969;0,396282286;0,400740494;-0,843700376;-0,595979932
300;European;Female;13,6441142;NO;A_little;5;4;2;4;2;4;5;2;4;1;1;;4;3;2;5;3;4;4;5;2;2;4;;4;1;;;;1;;5;3;5;;;2;5;5;5;1;3;;1;5;3;5;1;1;3;2;;3;2;;;4;;1;4;4;1;5;;;;1;2;1;;;;2;1;1;5;;;5;3;1;1;4;3;5;;1;5;4;;;;4;1;5;;1;3;;1;5;1;;5;;4;3;3;2;;;;;1;4;4;;1;1;5;1;;5;3;;3;1;3;5;5;4;2;;5;2;2;;5;0,601754426;0,061410018;0,094654337;-0,062075801;1,273081826;-0,304853504;-0,207704009
301;Landrace_Cat_Shorthair;Female;2,622861054;YES;A_little;5;4;5;5;3;;4;1;3;1;1;;3;5;1;3;5;3;3;4;2;1;3;;4;1;;1;;;;3;5;5;;;3;1;5;3;3;4;1;1;5;1;5;2;5;5;4;;2;1;;;5;;;4;5;1;5;3;;;1;1;1;5;4;;;1;;4;;;5;1;1;1;5;1;5;1;1;5;;;5;;5;1;4;3;1;1;1;1;1;1;;3;1;1;1;4;;4;5;1;;1;3;4;3;1;1;4;1;1;4;;;4;5;3;4;5;5;;;2;3;1;;3;1,281822838;-0,280665887;0,516404773;0,852560482;-0,501394998;-0,402021369;-0,57886051
302;Cornish_Rex;Female;0,476712329;NO;No;4;2;5;4;2;;5;5;1;1;1;4;4;1;1;5;4;5;4;5;2;1;;5;4;1;5;;;;4;5;4;4;;;1;2;5;4;1;2;;1;4;1;5;1;2;2;2;1;1;4;;;3;;1;4;2;1;4;;1;;1;1;1;;;;1;4;;5;1;;5;1;1;1;1;2;5;1;1;5;1;;;;2;1;2;;2;4;;1;1;1;1;5;1;5;4;2;3;;;;2;1;2;4;;1;1;5;1;;4;1;;1;1;5;1;1;4;4;;4;5;2;5;;-1,076742235;-0,582505934;-0,368131711;-0,108260998;-0,494441065;-0,470246537;-0,555560673
303;Landrace_Cat_Shorthair;Female;0,728767123;NO;No;5;4;2;3;4;1;5;4;1;1;3;4;4;2;1;4;4;3;5;4;3;2;;3;3;1;5;;1;1;5;4;3;5;;3;1;4;3;1;1;4;;1;5;1;4;3;5;4;4;1;1;4;2;2;3;;2;1;3;1;5;;5;;1;1;3;;;4;1;1;2;;1;;5;1;1;1;1;2;5;3;1;4;1;;;1;5;1;5;;1;3;;2;;3;1;4;1;5;3;3;5;1;;;1;1;5;5;;1;1;5;1;;3;1;;4;1;3;3;4;3;4;5;3;5;3;;5;-0,216425089;0,147932688;0,669068551;-0,646107743;0,252959708;-0,019910893;-0,248778691
304;Bengal;Female;0,868493151;NO;A_little;5;4;1;4;5;1;4;4;4;3;1;5;4;3;1;5;2;1;4;5;2;1;1;;4;1;5;;1;1;;5;4;4;;1;4;1;5;4;1;4;;1;2;1;2;2;5;5;5;1;;1;3;2;4;;1;4;5;1;5;;1;;1;1;5;;;;1;1;1;2;1;;5;;1;1;1;4;5;4;1;4;4;;;1;5;1;5;;1;4;;1;1;1;1;5;2;3;5;3;4;2;;;3;1;3;5;;1;1;5;1;;5;4;1;5;1;4;5;2;1;;5;4;4;3;;;-0,498033063;-0,526605984;0,128122086;0,341631423;0,922180042;1,091452578;-0,142535024
